fu3Column	fu2Column	Instrument	fu3Core
id	User.code	ALL	ALL
ipaddr	DELETE	ALL	ALL
datestamp	Completed.Timestamp	ALL	ALL
submitdate	Completed	ALL	ALL
startlanguage	Language	ALL	ALL
IdCheckGender	id_check_gender	ALL	ALL
IdCheckDob	id_check_dob	ALL	ALL
TS1	ts_1	ALL	ALL
dmq.28.	dmq28	IMGN_ESPAD	1
dmq.29.	dmq29	IMGN_ESPAD	1
dmq.30.	dmq30	IMGN_ESPAD	1
ScidAlcoholA1AC1	SCID_A1AC_1_alcohol	IMGN_ESPAD	1
ScidAlcoholA1AC2	SCID_A1AC_2_alcohol	IMGN_ESPAD	1
ScidAlcoholA1AC3	SCID_A1AC_3_alcohol	IMGN_ESPAD	1
ScidAlcoholA1AC4	SCID_A1AC_4_alcohol	IMGN_ESPAD	1
ScidAlcoholA1AC5	SCID_A1AC_5_alcohol	IMGN_ESPAD	1
ScidAlcoholA1B1	SCID_A1B_1_alcohol	IMGN_ESPAD	1
ScidAlcoholA1B2	SCID_A1B_2_alcohol	IMGN_ESPAD	1
ScidAlcoholA1B3	SCID_A1B_3_alcohol	IMGN_ESPAD	1
ScidAlcoholA1B4	SCID_A1B_4_alcohol	IMGN_ESPAD	1
ScidAlcoholA1B5	SCID_A1B_5_alcohol	IMGN_ESPAD	1
ScidAlcoholA1D1	SCID_A1D_1_alcohol	IMGN_ESPAD	1
ScidAlcoholA1D3	SCID_A1D_3_alcohol	IMGN_ESPAD	1
ScidAlcoholA1D2	SCID_A1D_2_alcohol	IMGN_ESPAD	1
ScidAlcoholA1D4	SCID_A1D_4_alcohol	IMGN_ESPAD	1
ScidAlcoholA1D5	SCID_A1D_5_alcohol	IMGN_ESPAD	1
ScidAlcoholA1D6	SCID_A1D_6_alcohol	IMGN_ESPAD	1
ScidAlcoholA21	SCID_A2_1_alcohol	IMGN_ESPAD	1
ScidAlcoholA22	SCID_A2_2_alcohol	IMGN_ESPAD	1
ScidAlcoholA23	SCID_A2_3_alcohol	IMGN_ESPAD	1
ScidAlcoholA24	SCID_A2_4_alcohol	IMGN_ESPAD	1
ScidAlcoholA25	SCID_A2_5_alcohol	IMGN_ESPAD	1
ScidAlcoholA31	SCID_A3_1_alcohol	IMGN_ESPAD	1
ScidAlcoholA32	SCID_A3_2_alcohol	IMGN_ESPAD	1
ScidAlcoholA33	SCID_A3_3_alcohol	IMGN_ESPAD	1
ScidAlcoholA34	SCID_A3_4_alcohol	IMGN_ESPAD	1
ScidAlcoholA35	SCID_A3_5_alcohol	IMGN_ESPAD	1
ScidAlcoholA4ABCD1	SCID_A4ABCD_1_alcohol	IMGN_ESPAD	1
ScidAlcoholA4ABCD2	SCID_A4ABCD_2_alcohol	IMGN_ESPAD	1
ScidAlcoholA4ABCD3	SCID_A4ABCD_3_alcohol	IMGN_ESPAD	1
ScidAlcoholA4ABCD4	SCID_A4ABCD_4_alcohol	IMGN_ESPAD	1
ScidAlcoholA4ABCD5	SCID_A4ABCD_5_alcohol	IMGN_ESPAD	1
ScidAlcoholD1AB1	SCID_D1AB_1_alcohol	IMGN_ESPAD	1
ScidAlcoholD1AB2	SCID_D1AB_2_alcohol	IMGN_ESPAD	1
ScidAlcoholD1AB3	SCID_D1AB_3_alcohol	IMGN_ESPAD	1
ScidAlcoholD2A1	SCID_D2A_1_alcohol	IMGN_ESPAD	1
ScidAlcoholD2A2.AllThatApply	SCID_D2A_2_alcohol	IMGN_ESPAD	1
ScidAlcoholD2B	SCID_D2B_alcohol	IMGN_ESPAD	1
ScidAlcoholD3AB	SCID_D3AB_alcohol	IMGN_ESPAD	1
ScidAlcoholD4AB1	SCID_D4AB_1_alcohol	IMGN_ESPAD	1
ScidAlcoholD4AB2	SCID_D4AB_2_alcohol	IMGN_ESPAD	1
ScidAlcoholD4AB3	SCID_D4AB_3_alcohol	IMGN_ESPAD	1
ScidAlcoholD4AB4	SCID_D4AB_4_alcohol	IMGN_ESPAD	1
ScidAlcoholD4AB5	SCID_D4AB_5_alcohol	IMGN_ESPAD	1
ScidAlcoholD4AB6	SCID_D4AB_6_alcohol	IMGN_ESPAD	1
ScidAlcoholD4AB7	SCID_D4AB_7_alcohol	IMGN_ESPAD	1
ScidAlcoholD51	SCID_D5_1_alcohol	IMGN_ESPAD	1
ScidAlcoholD52	SCID_D5_2_alcohol	IMGN_ESPAD	1
ScidAlcoholD6	SCID_D6_alcohol	IMGN_ESPAD	1
ScidAlcoholD7ABCD1	SCID_D7ABCD_1_alcohol	IMGN_ESPAD	1
ScidAlcoholD7ABCD2.AllThatApply	SCID_D7ABCD_2_alcohol	IMGN_ESPAD	1
ScidAlcoholD7ABCD3	SCID_D7ABCD_3_alcohol	IMGN_ESPAD	1
ScidAlcoholD7ABCD4	SCID_D7ABCD_4_alcohol	IMGN_ESPAD	1
ScidAlcoholD7ABCD5	SCID_D7ABCD_5_alcohol	IMGN_ESPAD	1
ScidAlcoholD7ABCD6	SCID_D7ABCD_6_alcohol	IMGN_ESPAD	1
Espad22.hash.	22_hash	IMGN_ESPAD	1
Espad22.inhalants.	22_inhalants	IMGN_ESPAD	1
Espad22.tranq.	22_tranq	IMGN_ESPAD	1
Espad22.amphet.	22_amphet	IMGN_ESPAD	1
Espad22.lsd.	22_lsd	IMGN_ESPAD	1
Espad22.mushrooms.	22_mushrooms	IMGN_ESPAD	1
Espad22.crack.	22_crack	IMGN_ESPAD	1
Espad22.coke.	22_coke	IMGN_ESPAD	1
Espad22.relevin.	22_relevin	IMGN_ESPAD	1
Espad22.heroin.	22_heroin	IMGN_ESPAD	1
Espad22.narcotic.	22_narcotic	IMGN_ESPAD	1
Espad22.mdma.	22_mdma	IMGN_ESPAD	1
Espad22.ketamine.	22_ketamine	IMGN_ESPAD	1
Espad22.ghb.	22_ghb	IMGN_ESPAD	1
Espad22.anabolic.	22_anabolic	IMGN_ESPAD	1
Espad23	23	IMGN_ESPAD	1
LifeHash	life_hash	IMGN_ESPAD	1
YearHash	year_hash	IMGN_ESPAD	1
MonthHash	month_hash	IMGN_ESPAD	1
WeekHash	week_hash	IMGN_ESPAD	1
FirstHash	first_hash	IMGN_ESPAD	1
Espad31Hash	31hash	IMGN_ESPAD	1
LifeGlue	life_glue	IMGN_ESPAD	1
YearGlue	year_glue	IMGN_ESPAD	1
MonthGlue	month_glue	IMGN_ESPAD	1
WeekGlue	week_glue	IMGN_ESPAD	1
FirstGlue	first_glue	IMGN_ESPAD	1
Espad31Glue	31glue	IMGN_ESPAD	1
LifeTranq	life_tranq	IMGN_ESPAD	1
YearTranq	year_tranq	IMGN_ESPAD	1
MonthTranq	month_tranq	IMGN_ESPAD	1
WeekTranq	week_tranq	IMGN_ESPAD	1
FirstTranq	first_tranq	IMGN_ESPAD	1
Espad31Tranq	31tranq	IMGN_ESPAD	1
